Class,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Transparency,UUID,Volume (ABD),Volume (ESD),Width
Cyanobacteria,34.8347,37.3207,0.2847,153.7551,143.5578,132.5442,300.0921,62.9422,154.6617,0.7254,3,832,536,4.6345,3.7455,35.0000,5.6738,4.3963,35.0000,0.6508,0.3941,0.5307,0.5147,1.8842,38.1658,1.0000,6.6598,10.6392,6.8933,92.5091,4.1090,3.6450,-90.0000,0.0000,0.0530,0.9497,0.2743,17.1865,4.7151,1,31,12,113.0884,16.3215,1,43.8031,1.0710,0.8620,0.9233,1.1477,0.0000,0.0000,0.0000,11.8591,0.0000,0,0.0000,0.0000,16624.0000,0.7516,0.3740,108A0BE0CEBE11EB89A700301809E817,154.6617,630.5587,2.9016
Cyanobacteria,128.1870,143.7854,0.8144,136.2734,134.1953,131.4219,1958.0190,1139.4539,1091.7661,0.7254,4,570,1614,4.6345,3.7455,35.0000,5.6738,4.3963,35.0000,0.6508,0.8543,0.9463,0.9779,1.0567,48.9611,1.0000,12.7755,14.1050,13.5305,129.3125,4.1090,1.0000,-85.0000,0.0000,0.0000,1.2037,1.0000,13.5595,13.5595,2,30,25,103.5443,16.3215,1,54.2378,1.0155,0.9644,0.9793,1.1078,0.0000,0.0000,0.0000,21.1790,0.0000,0,0.0000,0.0000,39761.0000,0.9092,0.0943,108A0C06CEBE11EB89A700301809E817,1091.7661,1469.3251,11.9691
Cyanobacteria,46.0380,59.5795,0.9553,135.5000,134.0899,131.7809,511.9108,376.3945,234.9843,0.7254,5,308,1185,4.9039,3.7462,34.0000,5.6232,4.3324,34.0000,0.5863,0.6409,0.5552,0.9441,1.8012,36.6551,0.9727,7.6562,10.1959,8.7097,81.7759,5.1090,3.3612,-80.0000,40.0000,0.6254,0.6152,0.2975,19.4551,5.7881,3,24,22,112.7360,11.9691,1,50.4864,1.0105,0.9726,0.9828,1.3773,0.0000,0.0000,0.0000,17.6604,0.0000,0,0.0000,0.0000,20067.0000,0.2353,0.2491,108A0C2DCEBE11EB89A700301809E817,234.9843,554.9774,8.3421
Cyanobacteria,574.8621,681.9421,0.4982,129.5408,129.1574,128.3579,13466.4325,9840.2167,10368.3413,0.7254,10,548,1229,4.6724,4.1111,32.0000,5.7490,4.4619,32.0000,0.3508,0.3406,0.6951,0.7517,1.4387,110.7691,0.9532,27.0543,33.7714,29.4665,69.0137,26.9060,2.0262,20.0000,-70.0000,0.0000,1.0278,0.4935,41.2900,20.3779,4,45,64,93.7996,42.4359,1,123.3357,1.0030,0.9909,0.9938,1.1134,0.0000,0.0000,0.0000,23.4798,0.0000,0,0.0000,0.0000,128693.0000,0.4153,0.1989,108A0CF0CEBE11EB89A700301809E817,10368.3413,20167.2098,20.6739
Cyanobacteria,217.7641,257.6347,0.9075,120.0355,117.8057,115.4713,4092.5001,2937.3142,2417.3710,0.7254,23,424,1202,4.9129,3.9281,34.0000,5.7291,4.5026,34.0000,0.5745,0.9150,0.9378,0.9949,1.0664,63.1038,1.0000,16.6513,18.5984,18.1116,63.8214,52.5150,1.0000,45.0000,0.0000,0.0000,1.1507,1.0000,17.3367,17.3367,5,34,32,93.9426,19.9485,1,69.3468,1.0189,0.9620,0.9802,1.0989,0.0000,0.0000,0.0000,24.2774,0.0000,0,0.0000,0.0000,55614.0000,0.9069,0.1047,108A0EEBCEBE11EB89A700301809E817,2417.3710,3368.4405,17.0469
Cyanobacteria,75.1353,76.3201,0.8053,143.5079,142.6102,140.1535,296.4189,1055.7873,489.9254,0.7254,24,706,1466,4.7628,4.0521,34.0000,5.8853,4.7081,34.0000,0.6560,0.4605,0.1618,0.6177,6.1819,45.7923,0.7396,9.7809,13.1176,9.8577,113.3554,57.5940,17.3633,-90.0000,-35.0000,2.4257,0.2919,0.0576,48.4574,2.7908,6,28,26,110.4606,14.1453,1,102.4965,1.0063,0.9766,0.9828,2.2383,0.0000,0.0000,0.0000,17.2968,0.0000,0,0.0000,0.0000,28057.0000,0.2248,0.2544,108A0F12CEBE11EB89A700301809E817,489.9254,1181.8619,11.2437
Cyanobacteria,86.6799,86.6799,0.4586,143.5689,143.4912,144.4170,368.6410,1362.6553,607.0741,0.7254,26,884,1334,3.9589,3.8001,3.0000,4.5126,4.2532,3.0000,0.4531,0.2848,0.1842,0.3717,5.4293,65.8132,0.4760,10.5054,19.4045,10.5054,21.9829,61.4530,14.9898,-75.0000,0.0000,0.9442,0.5143,0.0667,47.2465,3.1519,7,41,27,118.1767,24.3009,1,100.7967,1.0005,1.0059,1.0065,1.5316,0.0000,0.0000,0.0000,6.8206,0.0000,0,0.0000,0.0000,33444.0000,0.2469,0.4586,108A0F5FCEBE11EB89A700301809E817,607.0741,3825.6271,13.4199
Cyanobacteria,81.0816,81.4800,0.7411,133.1078,132.8810,131.5948,294.0283,1716.3221,549.2215,0.7254,27,939,1607,4.6433,3.6852,40.0000,5.7550,4.3459,40.0000,0.6607,0.2780,0.1396,0.4751,7.1656,61.6989,0.5279,10.1605,18.0544,10.1855,51.2791,67.2030,20.4625,-90.0000,-35.0000,1.5196,0.3969,0.0489,53.9186,2.6350,8,38,31,112.4647,21.3993,1,113.1072,1.0017,0.9886,0.9903,1.8332,0.0000,0.0000,0.0000,11.0020,0.0000,0,0.0000,0.0000,30253.0000,0.0909,0.4372,108A0F88CEBE11EB89A700301809E817,549.2215,3081.3980,13.4199
Cyanobacteria,69.2474,79.0934,0.8030,128.1715,126.7071,124.7448,1035.2282,507.5835,433.4798,0.7254,31,903,159,4.0960,3.9815,3.0000,4.7025,4.4011,3.0000,0.4196,0.7319,0.7496,0.9235,1.3341,39.5535,0.9906,9.3898,11.1430,10.0352,47.0526,73.3280,1.5431,-80.0000,45.0000,0.2232,0.8175,0.6481,14.6410,9.4883,9,24,23,112.8452,11.9691,1,48.2586,1.0116,0.9733,0.9845,1.2201,0.0000,0.0000,0.0000,11.4744,0.0000,0,0.0000,0.0000,26970.0000,0.7259,0.1573,108A1022CEBE11EB89A700301809E817,433.4798,724.4346,9.7929
Cyanobacteria,38.3944,38.3944,0.6328,139.8471,140.7516,142.0955,228.3437,464.0734,178.9643,0.7254,47,946,1467,5.0296,3.8695,35.0000,5.8297,4.5174,35.0000,0.6478,0.5500,0.3562,0.4856,2.8077,38.3514,0.6597,6.9918,10.6392,6.9918,58.5161,95.7500,6.6706,-90.0000,30.0000,0.9613,0.5099,0.1499,23.4753,3.5192,10,25,23,108.6115,11.9691,1,53.9889,0.9936,1.0161,1.0095,1.4077,0.0000,0.0000,0.0000,10.0131,0.0000,0,0.0000,0.0000,17052.0000,0.2641,0.3428,108A1294CEBE11EB89A700301809E817,178.9643,630.5587,8.3421
