Class,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Transparency,UUID,Volume (ABD),Volume (ESD),Width
Cyanobacteria,157.8387,157.8387,0.0273,147.1718,147.4207,147.3172,347.5928,167.9583,1491.7088,0.7254,47,928,21,7.3455,4.4896,1000.0000,7.3565,4.6381,1000.0000,0.1485,0.0000,0.0439,0.0415,22.7987,245.3909,0.6495,14.1763,76.5297,14.1763,26.4121,17.4850,69.6099,80.0000,-10.0000,0.0677,0.9366,0.0144,128.9559,1.8525,33,190,54,140.7379,120.7791,3,261.6168,0.9983,1.0010,0.9993,1.0661,0.0000,0.0000,0.0000,16.5820,0.0000,0,0.0000,0.0000,63895.0000,0.7212,0.8148,9A87CF0A6A8911ED8FA800301809E817,1491.7088,234686.7955,2.5389
Cyanobacteria,187.1570,187.1570,0.1128,160.5900,160.7586,160.9195,977.8193,391.5327,1926.0743,0.7254,68,755,704,7.3020,4.5144,1000.0000,7.3884,4.7006,1000.0000,0.1861,0.0000,0.2034,0.1864,4.9163,115.7288,0.8985,15.4368,35.3633,15.4368,74.3907,25.5470,13.3702,25.0000,-65.0000,0.1065,0.9037,0.0748,60.6014,4.5326,27,59,92,131.6992,54.7677,1,130.2679,0.9990,1.0021,1.0010,1.1256,0.0000,0.0000,0.0000,38.0637,0.0000,0,0.0000,0.0000,68747.0000,0.4418,0.5635,9A881E8F6A8911ED8FA800301809E817,1926.0743,23155.5519,4.7151
Cyanobacteria,227.4605,254.9607,0.1192,157.8746,157.8469,157.8094,1234.9946,772.4787,2580.6121,0.7254,255,204,1149,5.3790,3.7541,168.0000,6.3820,4.5828,168.0000,0.8287,0.0000,0.1551,0.1955,6.4485,146.0391,0.8294,17.0180,44.9144,18.0174,37.9032,103.9070,18.2035,50.0000,-35.0000,0.1495,0.8699,0.0549,80.4690,4.4205,13,102,83,148.3844,70.0011,1,169.7790,1.0002,0.9996,0.9998,1.1626,0.0000,0.0000,0.0000,19.5961,0.0000,0,0.0000,0.0000,91108.0000,0.4145,0.6211,9A8B3D6D6A8911ED8FA800301809E817,2580.6121,47441.0158,5.4405
Cyanobacteria,96.3759,96.3759,0.6588,160.1238,160.1075,160.1531,963.2604,596.8853,711.7323,0.7254,330,641,1389,7.3615,4.5130,1000.0000,7.4173,4.9870,1000.0000,0.4740,0.6252,0.6089,0.8649,1.6423,45.5903,0.9475,11.0774,13.0774,11.0774,75.8088,126.0160,2.8027,35.0000,-45.0000,0.3643,0.7330,0.3568,21.2781,7.5921,1,43,42,127.7915,15.5961,1,57.7404,1.0001,1.0002,1.0003,1.2665,0.0000,0.0000,0.0000,24.3236,0.0000,0,0.0000,0.0000,39232.0000,0.4566,0.1529,9A8C37736A8911ED8FA800301809E817,711.7323,1171.0026,10.5183
Cyanobacteria,230.9948,242.5108,0.1195,164.2958,164.7974,165.4952,1034.4944,2005.7852,2640.9921,0.7254,340,412,1340,7.2132,4.3793,1000.0000,7.2816,4.6418,1000.0000,0.2626,0.0000,0.1262,0.1193,7.9244,164.3149,0.4876,17.1497,50.8385,17.5720,93.3478,130.1720,22.8515,-90.0000,0.0000,0.1320,0.8834,0.0438,88.2718,3.8629,25,133,37,124.3730,77.9805,2,184.2693,0.9970,1.0073,1.0042,1.1214,0.0000,0.0000,0.0000,26.1138,0.0000,0,0.0000,0.0000,77360.0000,0.2466,0.6627,9A8C56356A8911ED8FA800301809E817,2640.9921,68797.9544,9.0675
Cyanobacteria,230.1108,230.1108,0.0367,156.5581,156.2435,155.4984,770.0365,277.9045,2625.8465,0.7254,458,709,770,4.9396,3.6629,48.0000,5.7947,4.4086,48.0000,0.7456,0.0000,0.0823,0.0601,12.1441,201.6596,0.7434,17.1168,62.6262,17.1168,25.7601,174.7190,36.1241,-90.0000,0.0000,0.1127,0.8987,0.0277,108.5606,3.0052,14,159,31,158.5000,97.5663,1,223.1316,1.0020,0.9932,0.9952,1.1065,0.0000,0.0000,0.0000,19.7241,0.0000,0,0.0000,0.0000,98270.0000,0.5149,0.7267,9A8DC3396A8911ED8FA800301809E817,2625.8465,128607.6505,4.7151
Cyanobacteria,106.1845,106.1845,0.4988,162.4622,162.4139,162.2236,1196.7351,509.2365,823.1053,0.7254,557,722,1597,4.5258,3.6699,38.0000,5.7715,4.3567,38.0000,0.6868,0.5837,0.6663,0.7846,1.5009,48.6219,1.0000,11.6275,14.0647,11.6275,59.4776,206.5000,2.2758,45.0000,-35.0000,0.0763,0.9291,0.4394,19.9094,8.7483,15,46,43,160.1269,18.4977,1,57.3154,1.0003,0.9985,0.9988,1.1788,0.0000,0.0000,0.0000,35.4178,0.0000,0,0.0000,0.0000,53002.0000,0.6915,0.1733,9A8F5BE46A8911ED8FA800301809E817,823.1053,1456.7668,7.6167
Cyanobacteria,175.0305,175.0305,0.6569,163.0385,162.9352,162.5870,1887.4524,1584.2846,1741.9452,0.7254,622,513,1809,5.2172,4.0397,42.0000,5.7492,4.4249,42.0000,0.3852,0.5416,0.5850,0.8332,1.7094,59.8168,0.9225,14.9284,17.6111,14.9284,65.8681,228.7350,3.0414,40.0000,-30.0000,0.3601,0.7353,0.3288,28.1176,9.2449,2,51,46,129.1660,20.6739,1,74.7250,1.0006,0.9972,0.9979,1.2492,0.0000,0.0000,0.0000,23.9144,0.0000,0,0.0000,0.0000,63808.0000,0.4124,0.1523,9A909FF36A8911ED8FA800301809E817,1741.9452,2859.9476,11.9691
Cyanobacteria,165.1253,168.9950,0.8019,160.0446,159.4076,159.0552,1826.7550,1511.4684,1596.1883,0.7254,632,762,1150,4.8316,3.6812,61.0000,5.7290,4.3314,61.0000,0.6502,0.6460,0.5912,0.9497,1.6916,54.2981,0.9836,14.4998,15.8178,14.6687,58.4270,232.3600,2.9786,25.0000,-45.0000,0.6090,0.6215,0.3357,27.4285,9.2086,3,46,46,131.2166,17.0469,1,73.2742,1.0040,0.9938,0.9978,1.3495,0.0000,0.0000,0.0000,20.2305,0.0000,0,0.0000,0.0000,61803.0000,0.4533,0.0833,9A90D9B26A8911ED8FA800301809E817,1596.1883,2072.2051,14.1453
Cyanobacteria,86.6799,86.6799,0.7546,162.7739,163.1201,163.3498,1100.1858,504.9221,607.0741,0.7254,653,286,1823,7.4211,4.5839,1000.0000,7.5411,4.9518,1000.0000,0.3679,0.8079,0.9342,0.9555,1.0704,39.8415,1.0000,10.5054,11.2840,10.5054,51.3208,240.8750,1.0000,-80.0000,0.0000,0.0000,1.1994,1.0000,11.1890,11.1890,4,42,37,129.1413,13.4199,1,44.7561,0.9979,1.0035,1.0014,1.1234,0.0000,0.0000,0.0000,16.6507,0.0000,0,0.0000,0.0000,36547.0000,0.8167,0.0690,9A9122F76A8911ED8FA800301809E817,607.0741,752.2944,9.0675
Cyanobacteria,280.4469,280.4469,0.0996,150.8349,151.3220,151.7940,1280.1827,1422.9327,3532.9687,0.7254,767,435,238,5.2624,4.0877,34.0000,5.5500,4.3970,34.0000,0.3092,0.0000,0.1329,0.1222,7.5262,164.9540,0.5736,18.8965,50.9795,18.8965,62.6296,285.0470,21.5980,-90.0000,0.0000,0.1597,0.8623,0.0463,91.2717,4.2259,24,133,36,110.1583,78.7059,1,190.9953,0.9968,1.0064,1.0031,1.1579,0.0000,0.0000,0.0000,17.8488,0.0000,0,0.0000,0.0000,80746.0000,0.1356,0.6293,9A92CF706A8911ED8FA800301809E817,3532.9687,69372.1792,8.3421
Cyanobacteria,179.3531,192.3756,0.1004,163.2718,163.3056,163.2659,778.3187,509.2197,1806.8715,0.7254,856,722,1324,7.3890,4.5313,1000.0000,7.4719,4.7198,1000.0000,0.1885,0.0000,0.1275,0.1430,7.8420,129.0281,0.6700,15.1116,39.4940,15.6506,38.9151,322.1880,22.5920,-90.0000,0.0000,0.3154,0.7602,0.0443,79.6756,3.5267,28,108,33,155.6587,60.5709,1,166.4046,0.9998,1.0000,0.9998,1.2897,0.0000,0.0000,0.0000,21.6292,0.0000,0,0.0000,0.0000,78452.0000,0.4452,0.6174,9A93EBF86A8911ED8FA800301809E817,1806.8715,32254.6243,6.1659
Cyanobacteria,83.0759,83.0759,0.0488,149.7007,149.7591,149.5803,238.0802,113.8039,569.6080,0.7254,891,699,175,7.6702,4.7427,1000.0000,7.7216,4.9412,1000.0000,0.1985,0.0000,0.0907,0.0695,11.0288,124.9332,0.7385,10.2847,38.2044,10.2847,33.7968,337.4220,32.6175,-90.0000,5.0000,0.1322,0.8833,0.0307,68.5769,2.1025,45,108,29,159.6642,60.5709,1,141.3587,0.9996,0.9992,0.9988,1.1315,0.0000,0.0000,0.0000,18.5038,0.0000,0,0.0000,0.0000,43748.0000,0.2880,0.7308,9A945D2E6A8911ED8FA800301809E817,569.6080,29197.0365,2.5389
Cyanobacteria,187.1570,231.4369,0.1314,159.6207,159.5824,159.7969,1172.6439,648.9534,1926.0743,0.7254,903,901,730,7.4459,4.5710,1000.0000,7.5072,4.7413,1000.0000,0.1703,0.0000,0.1758,0.2256,5.6874,118.2038,0.8552,15.4368,36.0887,17.1661,62.9296,341.7350,15.8044,80.0000,-5.0000,0.3143,0.7609,0.0633,71.9797,4.5544,29,99,36,133.0000,54.7677,1,153.0682,1.0002,1.0011,1.0013,1.2950,0.0000,0.0000,0.0000,20.5859,0.0000,0,0.0000,0.0000,69426.0000,0.6546,0.5723,9A948A5F6A8911ED8FA800301809E817,1926.0743,24609.9387,6.1659
Cyanobacteria,100.8583,100.8583,0.0365,152.1258,152.2013,152.1824,223.7473,198.7776,761.9587,0.7254,1010,113,653,7.7442,4.8086,1000.0000,7.7872,4.9567,1000.0000,0.1480,0.0000,0.0526,0.0382,19.0186,202.8805,0.4051,11.3321,63.1300,11.3321,56.0840,389.9070,57.7312,-75.0000,15.0000,0.0000,1.0148,0.0173,98.2871,1.7025,42,157,62,124.3962,99.7425,2,199.9792,0.9995,1.0004,0.9999,0.9857,0.0000,0.0000,0.0000,6.8032,0.0000,0,0.0000,0.0000,39558.0000,0.1561,0.8205,A0DED71E6A8911ED8FA800301809E817,761.9587,131736.1474,3.2643
Cyanobacteria,140.8208,140.8208,0.1264,162.3092,162.6449,163.0048,448.2014,1560.3080,1257.0838,0.7254,1043,937,1781,4.5769,3.4860,35.0000,5.5555,4.3823,35.0000,0.8963,0.0000,0.0930,0.0937,10.7520,159.2935,0.3522,13.3902,49.2063,13.3902,47.0810,405.0470,31.7468,-90.0000,-5.0000,0.0971,0.9115,0.0315,83.1625,2.6196,16,133,38,134.7995,75.8043,5,171.5641,0.9979,1.0043,1.0022,1.0770,0.0000,0.0000,0.0000,26.2298,0.0000,0,0.0000,0.0000,55807.0000,0.3575,0.7279,916F41F86A8A11ED8FA800301809E817,1257.0838,62382.2095,7.6167
Cyanobacteria,155.7015,155.7015,0.1961,162.1648,162.1114,162.3118,1127.7451,398.7438,1461.5138,0.7254,1048,528,1429,6.7878,4.1150,1000.0000,7.3083,4.6700,1000.0000,0.5550,0.0609,0.3673,0.3641,2.7225,79.0586,0.9615,14.0800,23.5554,14.0800,47.7018,405.5470,6.3968,-90.0000,10.0000,0.1050,0.9050,0.1563,38.8760,6.0774,5,73,36,164.6971,35.1819,1,89.9069,1.0003,1.0009,1.0012,1.1372,0.0000,0.0000,0.0000,27.3659,0.0000,0,0.0000,0.0000,73949.0000,0.7656,0.4023,916F50F86A8A11ED8FA800301809E817,1461.5138,6843.3272,4.7151
Cyanobacteria,470.7122,470.7122,0.1545,165.1480,165.1802,165.1923,3403.0315,2694.8959,7682.4008,0.7254,1050,879,1818,7.2723,4.4257,1000.0000,7.5863,4.8251,1000.0000,0.3994,0.0000,0.2267,0.2626,4.4110,147.6055,0.7498,24.4812,45.4181,24.4812,82.5435,407.8750,11.7726,-85.0000,5.0000,0.3142,0.7609,0.0849,84.3673,7.1664,6,102,49,128.2515,64.1979,1,183.0674,0.9998,1.0003,1.0001,1.2402,0.0000,0.0000,0.0000,31.9205,0.0000,0,0.0000,0.0000,147361.0000,0.7159,0.4610,916F560B6A8A11ED8FA800301809E817,7682.4008,49055.2518,12.6945
Cyanobacteria,353.7618,353.7618,0.0912,162.2045,162.1453,162.0682,1783.3408,1293.5030,5005.3000,0.7254,1214,457,1431,7.5513,4.6476,1000.0000,7.6428,4.8412,1000.0000,0.1937,0.0000,0.1408,0.1368,7.1014,180.8067,0.6550,21.2232,56.0976,21.2232,87.8301,478.9540,20.2603,85.0000,-5.0000,0.1175,0.8949,0.0494,97.6814,4.8213,21,144,41,122.8838,87.4107,1,205.0054,1.0004,0.9992,0.9995,1.1338,0.0000,0.0000,0.0000,23.1517,0.0000,0,0.0000,0.0000,109981.0000,0.2135,0.6217,917151596A8A11ED8FA800301809E817,5005.3000,92433.9403,8.3421
Cyanobacteria,82.6765,91.9171,0.7065,160.5641,160.5421,160.5311,871.0737,923.1791,565.5061,0.7254,1329,201,1676,5.6777,4.0580,95.0000,5.9748,4.5230,95.0000,0.4650,0.2583,0.5821,0.7022,1.7181,61.1283,0.6773,10.2600,17.9536,10.8182,61.1571,522.7040,3.0719,35.0000,-35.0000,0.0000,1.1109,0.3255,21.8740,7.1206,7,51,48,142.1136,24.3009,2,57.9893,1.0001,0.9998,0.9999,0.9486,0.0000,0.0000,0.0000,22.7591,0.0000,0,0.0000,0.0000,38797.0000,0.4439,0.4285,9172AA1E6A8A11ED8FA800301809E817,565.5061,3030.0995,11.2437
Cyanobacteria,86.2786,86.2786,0.3727,152.0461,152.2943,152.3936,486.6185,729.0127,602.8626,0.7254,1353,372,569,3.8622,3.8622,1.0000,4.2236,4.2236,1.0000,0.3614,0.1891,0.2956,0.4046,3.3834,61.4796,0.6795,10.4811,18.0343,10.4811,59.9684,533.0790,8.5117,50.0000,-15.0000,0.4201,0.7042,0.1175,35.5394,4.1754,8,56,40,143.4007,25.0263,1,79.4295,0.9984,1.0023,1.0007,1.2920,0.0000,0.0000,0.0000,30.5414,0.0000,0,0.0000,0.0000,40439.0000,0.1547,0.4188,9172F28C6A8A11ED8FA800301809E817,602.8626,3071.0924,8.3421
Cyanobacteria,176.7584,176.7584,0.0845,155.0201,154.8896,154.7450,853.2849,302.0262,1767.8037,0.7254,1371,609,561,7.2217,4.4190,1000.0000,7.3515,4.5989,1000.0000,0.1799,0.0000,0.1815,0.1363,5.5103,122.2156,0.7181,15.0019,37.3984,15.0019,62.3220,540.0470,15.2456,-90.0000,0.0000,0.1100,0.9009,0.0656,63.2069,4.1459,32,103,33,157.5602,56.9439,1,134.7057,1.0008,0.9982,0.9991,1.1022,0.0000,0.0000,0.0000,30.5161,0.0000,0,0.0000,0.0000,78465.0000,0.4558,0.5989,9173290C6A8A11ED8FA800301809E817,1767.8037,27387.8342,6.1659
Cyanobacteria,251.8437,251.8437,0.0584,157.9387,157.9716,157.9656,739.6529,494.2185,3006.4954,0.7254,1410,844,588,7.3729,4.5265,1000.0000,7.4745,4.7623,1000.0000,0.2357,0.0000,0.0613,0.0817,16.3004,197.0144,0.7446,17.9069,61.0747,17.9069,47.1950,555.1100,49.1889,-90.0000,0.0000,0.3795,0.7249,0.0203,131.5904,2.6752,35,156,29,144.3767,95.3901,1,268.5313,0.9998,1.0002,1.0000,1.3630,0.0000,0.0000,0.0000,23.2769,0.0000,0,0.0000,0.0000,96588.0000,0.3874,0.7068,9173A4E26A8A11ED8FA800301809E817,3006.4954,119283.8321,3.2643
Cyanobacteria,124.8386,124.8386,0.2567,162.8218,162.9229,162.8803,569.4845,2503.8753,1049.2691,0.7254,1462,575,1379,7.3952,4.5334,1000.0000,7.4916,4.7940,1000.0000,0.2606,0.0000,0.1870,0.1782,5.3474,108.6894,0.3706,12.6075,33.0662,12.6075,80.7810,577.2500,14.7314,30.0000,-55.0000,0.1363,0.8801,0.0679,53.9876,3.6648,46,68,78,150.4894,47.5137,2,115.3047,0.9994,1.0004,0.9997,1.0609,0.0000,0.0000,0.0000,37.9891,0.0000,0,0.0000,0.0000,56584.0000,0.3255,0.6187,917466216A8A11ED8FA800301809E817,1049.2691,18929.9522,13.4199
Cyanobacteria,318.3138,318.3138,0.3442,159.7674,159.6830,159.6169,807.5476,164694.5805,4272.1553,0.7254,1514,250,1465,7.1619,4.3677,1000.0000,7.3070,4.6460,1000.0000,0.2783,0.0000,0.0407,0.0460,24.5644,278.4248,0.1081,20.1318,87.1488,20.1318,43.9000,596.5320,75.1580,-55.0000,40.0000,0.5536,0.6437,0.0133,179.7530,2.3917,23,160,133,164.1665,115.7013,2,364.2893,1.0005,0.9991,0.9996,1.3084,0.0000,0.0000,0.0000,19.4529,0.0000,0,0.0000,0.0000,134124.0000,0.3884,0.7690,917514316A8A11ED8FA800301809E817,4272.1553,346562.9320,46.7883
Cyanobacteria,98.4105,98.4105,0.3814,165.0609,165.2179,165.4231,837.5108,442.7550,734.3890,0.7254,1570,564,1387,7.0817,4.2783,1000.0000,7.2965,4.6628,1000.0000,0.3845,0.3352,0.5109,0.5869,1.9571,52.5141,0.9043,11.1938,15.2334,11.1938,84.9211,618.2820,3.8916,-80.0000,25.0000,0.2226,0.8179,0.2570,25.2766,6.4952,9,51,41,126.4231,20.6739,1,63.5436,0.9990,1.0022,1.0012,1.2100,0.0000,0.0000,0.0000,23.4910,0.0000,0,0.0000,0.0000,39444.0000,0.2926,0.2652,9175C14E6A8A11ED8FA800301809E817,734.3890,1850.9264,6.8913
Cyanobacteria,87.0815,87.0815,0.1450,164.7183,165.3592,165.6021,463.5587,149.7543,611.2977,0.7254,1690,1040,1656,4.8296,3.8435,35.0000,5.7696,4.6684,35.0000,0.8249,0.0000,0.2689,0.2449,3.7194,76.6812,0.8987,10.5297,22.9912,10.5297,71.6239,669.7350,9.5806,-85.0000,5.0000,0.0538,0.9490,0.1044,37.8383,3.9495,17,73,31,153.8803,35.9073,1,83.5757,0.9961,1.0054,1.0015,1.0899,0.0000,0.0000,0.0000,34.5302,0.0000,0,0.0000,0.0000,43702.0000,0.3764,0.5420,917739626A8A11ED8FA800301809E817,611.2977,6363.2752,3.9897
Cyanobacteria,108.6528,108.6528,0.1224,161.2641,161.2226,161.2700,384.0442,678.7820,851.9712,0.7254,1708,652,960,7.2085,4.3880,1000.0000,7.0094,4.5171,1000.0000,0.1291,0.0000,0.1239,0.1076,8.0740,116.2290,0.5409,11.7618,35.4439,11.7618,47.3647,678.1250,23.3224,-90.0000,0.0000,0.1742,0.8516,0.0429,64.3100,2.7574,40,100,35,153.0326,54.7677,1,134.1349,1.0003,1.0000,1.0003,1.1541,0.0000,0.0000,0.0000,22.9734,0.0000,0,0.0000,0.0000,51572.0000,0.1897,0.6682,91776FD86A8A11ED8FA800301809E817,851.9712,23314.2416,7.6167
Cyanobacteria,103.7225,103.7225,0.0391,150.3600,150.7138,150.2769,287.9622,121.4514,794.6451,0.7254,1836,824,133,7.5445,4.6670,1000.0000,7.6380,4.8281,1000.0000,0.1612,0.0000,0.0801,0.0591,12.4885,144.2078,0.8344,11.4919,44.4308,11.4919,34.8967,732.3290,37.2070,-90.0000,0.0000,0.1395,0.8776,0.0269,79.7685,2.1439,41,121,26,148.3477,70.0011,1,163.8248,0.9977,0.9994,0.9971,1.1360,0.0000,0.0000,0.0000,18.6628,0.0000,0,0.0000,0.0000,48213.0000,0.4909,0.7414,9178F6A86A8A11ED8FA800301809E817,794.6451,45925.0413,2.1762
Cyanobacteria,165.1253,173.7356,0.9007,158.1253,157.6709,157.0297,2703.1549,1686.0809,1596.1883,0.7254,1884,540,1331,7.1178,4.2967,1000.0000,7.3121,4.6501,1000.0000,0.3534,0.8266,0.8902,0.9713,1.1234,54.5107,1.0000,14.4998,15.8782,14.8730,55.2000,751.8910,1.0000,20.0000,-60.0000,0.0000,1.1291,1.0000,15.0983,15.0983,10,46,47,148.4395,17.0469,1,60.3931,1.0029,0.9931,0.9959,1.1079,0.0000,0.0000,0.0000,40.1956,0.0000,0,0.0000,0.0000,69915.0000,0.7562,0.0868,9179AB136A8A11ED8FA800301809E817,1596.1883,2096.0538,14.1453
Cyanobacteria,179.7859,183.6850,0.0959,161.7564,161.5050,161.7366,1017.6450,297.2913,1813.4154,0.7254,1916,482,1373,7.5689,4.6572,1000.0000,7.6541,4.8207,1000.0000,0.1636,0.0000,0.2265,0.1675,4.4150,113.8338,0.8764,15.1298,34.7587,15.2930,48.4286,767.9220,11.7853,-90.0000,0.0000,0.0589,0.9444,0.0849,56.4586,4.7906,30,98,31,145.5386,53.3169,1,122.4983,1.0016,0.9999,1.0014,1.0761,0.0000,0.0000,0.0000,20.7106,0.0000,0,0.0000,0.0000,73497.0000,0.3781,0.5647,917A142E6A8A11ED8FA800301809E817,1813.4154,21988.2705,4.7151
Cyanobacteria,106.5954,106.5954,0.2734,162.8223,162.7590,162.6054,651.5413,504.7108,827.8882,0.7254,2050,901,1809,6.8444,4.1664,1000.0000,6.8533,4.5333,1000.0000,0.3669,0.1279,0.3181,0.3841,3.1439,64.9053,0.8137,11.6500,19.1425,11.6500,50.8952,831.5160,7.7477,-90.0000,0.0000,0.3525,0.7394,0.1291,36.7904,4.7485,11,62,35,160.9217,27.2025,1,83.0778,1.0004,0.9987,0.9991,1.2800,0.0000,0.0000,0.0000,29.6129,0.0000,0,0.0000,0.0000,53426.0000,0.1069,0.3914,81E03E836A8B11ED8FA800301809E817,827.8882,3672.7772,7.6167
Cyanobacteria,125.2566,125.2566,0.0665,157.5889,158.0345,158.6393,444.4661,198.3129,1054.5441,0.7254,2054,1030,444,7.2301,4.4079,1000.0000,7.3126,4.6378,1000.0000,0.2299,0.0000,0.1189,0.0995,8.4093,129.4507,0.7080,12.6286,39.6754,12.6286,89.2926,832.1410,24.3776,-90.0000,0.0000,0.1345,0.8814,0.0410,69.5415,2.8527,39,109,31,123.8064,61.2963,1,144.7884,0.9972,1.0067,1.0038,1.1185,0.0000,0.0000,0.0000,26.5166,0.0000,0,0.0000,0.0000,46675.0000,0.5362,0.6817,81E048DC6A8B11ED8FA800301809E817,1054.5441,32700.9916,4.7151
Cyanobacteria,104.9527,104.9527,0.2640,159.9878,159.7591,160.0305,488.5084,600.7114,808.8243,0.7254,2077,555,1367,7.1405,4.3515,1000.0000,7.2304,4.5743,1000.0000,0.2228,0.1383,0.2045,0.3334,4.8909,69.3720,0.6302,11.5598,20.5732,11.5598,55.2160,840.3290,13.2899,35.0000,-60.0000,0.6302,0.6134,0.0752,47.8934,3.6037,20,47,59,148.4848,29.3787,1,102.9943,1.0014,1.0003,1.0017,1.4847,0.0000,0.0000,0.0000,23.2515,0.0000,0,0.0000,0.0000,48703.0000,0.2802,0.4381,81E08FB36A8B11ED8FA800301809E817,808.8243,4559.3297,8.3421
