Class,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Transparency,UUID,Volume (ABD),Volume (ESD),Width
Cyanobacteria,120.6660,120.6660,0.1325,168.7350,169.0328,168.5847,556.2692,238.5408,997.1059,0.7254,26,827,1679,6.3033,4.2936,242.0000,6.6459,4.8215,242.0000,0.5279,0.0000,0.1926,0.2082,5.1918,106.1954,0.7871,12.3950,32.3206,12.3950,58.6690,48.7500,14.2403,-90.0000,0.0000,0.0240,0.9765,0.0702,52.3694,3.6776,1,96,29,135.6967,51.1407,2,112.0938,0.9982,0.9991,0.9973,1.0555,0.0000,0.0000,0.0000,24.8767,0.0000,0,0.0000,0.0000,49665.0000,0.5316,0.6165,CAE220836B7211ED8FA800301809E817,997.1059,17678.1521,3.2643
Cyanobacteria,273.7225,273.7225,0.6209,165.3287,165.3148,165.1908,2613.1056,3617.2844,3406.6660,0.7254,372,699,1282,4.4753,3.7606,37.0000,5.7170,4.4375,37.0000,0.6769,0.4445,0.4439,0.7331,2.2528,80.7953,0.8127,18.6685,24.3009,18.6685,89.4524,780.1250,4.8720,75.0000,-30.0000,0.3916,0.7186,0.2053,42.9034,8.8062,2,66,52,143.5056,30.8295,1,103.4192,1.0001,0.9992,0.9993,1.2800,0.0000,0.0000,0.0000,34.5058,0.0000,0,0.0000,0.0000,103037.0000,0.4435,0.2318,BB63FA6D6B7311ED8FA800301809E817,3406.6660,7513.9050,17.0469
Cyanobacteria,326.4712,372.9500,0.5890,157.9844,158.0263,157.6695,2479.9876,6085.7929,4437.4257,0.7254,523,418,1366,6.9426,4.2203,1000.0000,7.1520,4.5833,1000.0000,0.3630,0.1941,0.2227,0.6796,4.4897,98.5726,0.7272,20.3881,29.9631,21.7912,65.8768,1215.7190,12.0217,45.0000,-50.0000,1.1017,0.4758,0.0832,76.9892,6.4042,3,70,64,152.3293,36.6327,1,166.7868,0.9997,0.9980,0.9977,1.6920,0.0000,0.0000,0.0000,29.2522,0.0000,0,0.0000,0.0000,127195.0000,0.3680,0.3196,B4CD9AB46B7411ED8FA800301809E817,4437.4257,14084.9944,19.2231
Unknown,103.7225,103.7225,0.9046,158.0585,158.8092,159.5938,1684.5505,777.9877,794.6451,0.7254,7,602,336,7.3460,4.5669,1000.0000,7.4538,4.7279,1000.0000,0.1609,0.8343,0.8076,0.9723,1.2382,43.9046,1.0000,11.4919,12.4930,11.4919,101.7903,12.2340,1.0000,-40.0000,10.0000,0.0000,1.0406,1.0000,12.8963,12.8963,4,42,41,117.8738,13.4199,1,51.5852,0.9953,1.0097,1.0049,1.1749,0.0000,0.0000,0.0000,44.9751,0.0000,0,0.0000,0.0000,38309.0000,0.7107,0.0801,CAE1E60A6B7211ED8FA800301809E817,794.6451,1020.9368,11.2437
Unknown,80.2856,80.2856,0.6309,162.9026,162.5543,162.4195,372.4046,999.9295,541.1533,0.7254,21,650,1634,6.4121,4.3253,258.0000,6.5653,4.5517,258.0000,0.2264,0.4189,0.2179,0.5574,4.5889,53.5057,0.6403,10.1105,15.4551,10.1105,64.5182,40.3130,12.3353,70.0000,-30.0000,1.0869,0.4792,0.0811,41.6301,3.3749,27,50,42,144.0375,19.9485,1,90.0100,1.0021,0.9970,0.9992,1.6823,0.0000,0.0000,0.0000,20.9920,0.0000,0,0.0000,0.0000,38458.0000,0.1612,0.3458,CAE212886B7211ED8FA800301809E817,541.1533,1932.9021,11.9691
Unknown,186.7227,244.7304,0.7742,156.1727,155.9347,155.8829,2205.2081,2667.2559,1919.3738,0.7254,23,797,1819,7.2078,4.4908,1000.0000,7.2277,4.6582,1000.0000,0.1674,0.5799,0.4280,0.9256,2.3366,69.3461,0.8678,15.4189,20.5127,17.6522,46.4034,44.5310,5.1462,0.0000,70.0000,0.7837,0.5606,0.1943,42.0511,8.1713,17,49,57,134.7754,23.5755,1,100.4447,1.0015,0.9981,0.9997,1.4485,0.0000,0.0000,0.0000,20.2047,0.0000,0,0.0000,0.0000,70218.0000,0.3953,0.2483,CAE217C16B7211ED8FA800301809E817,1919.3738,4519.2577,17.0469
Unknown,145.9065,162.1212,0.7795,154.6080,153.7488,152.7371,1618.9701,1475.4700,1325.7933,0.7254,45,585,885,5.5181,4.2275,57.0000,5.4075,4.2033,57.0000,-0.0242,0.5725,0.5495,0.9148,1.8199,54.2500,0.9577,13.6299,15.7976,14.3673,38.6374,84.5780,3.4255,-15.0000,-90.0000,0.6272,0.6145,0.2919,28.9199,8.4426,19,44,48,149.5047,17.7723,1,74.7250,1.0056,0.9879,0.9934,1.3774,0.0000,0.0000,0.0000,37.0344,0.0000,0,0.0000,0.0000,63689.0000,0.2541,0.1372,CAE253146B7211ED8FA800301809E817,1325.7933,2064.2960,14.1453
Unknown,81.0816,81.0816,0.5000,151.1599,151.2565,151.2305,389.1031,703.2515,549.2215,0.7254,61,694,489,7.4432,4.6674,1000.0000,7.4798,4.7802,1000.0000,0.1128,0.3320,0.2303,0.5442,4.3423,53.2069,0.6987,10.1605,15.3946,10.1605,63.7333,122.2500,11.5551,-20.0000,65.0000,0.9562,0.5112,0.0865,40.4427,3.5000,28,40,52,125.0706,20.6739,1,87.8853,0.9994,1.0005,0.9998,1.6518,0.0000,0.0000,0.0000,21.3465,0.0000,0,0.0000,0.0000,33644.0000,0.0883,0.3400,CAE27DC06B7211ED8FA800301809E817,549.2215,1910.3100,10.5183
Unknown,128.1870,128.1870,0.5143,156.2161,156.1953,156.6432,396.4038,2851.7468,1091.7661,0.7254,83,440,1390,7.4933,4.6606,1000.0000,7.4223,4.7611,1000.0000,0.1004,0.1441,0.0913,0.3790,10.9554,79.5504,0.5541,12.7755,23.8375,12.7755,54.0591,164.8280,32.3864,70.0000,-5.0000,1.5060,0.3990,0.0309,80.8956,2.4978,25,68,45,143.5130,32.2803,1,166.7868,1.0001,1.0027,1.0029,2.0966,0.0000,0.0000,0.0000,24.5437,0.0000,0,0.0000,0.0000,55109.0000,0.1866,0.4641,CAE2BFC46B7211ED8FA800301809E817,1091.7661,7092.1516,13.4199
Unknown,436.8927,518.6715,0.9586,149.0502,147.8067,146.5335,9702.1536,8902.6737,6869.5138,0.7254,89,679,470,7.4375,4.6901,1000.0000,7.3597,4.7197,1000.0000,0.0296,0.8504,0.7128,0.9840,1.4029,91.2808,0.9732,23.5854,27.5854,25.6981,106.8258,171.2340,1.8738,25.0000,0.0000,0.2262,0.8155,0.5337,35.1351,18.7508,5,63,61,116.5288,28.6533,1,107.7716,1.0084,0.9831,0.9914,1.1807,0.0000,0.0000,0.0000,49.7845,0.0000,0,0.0000,0.0000,125385.0000,0.7853,0.1450,CAE2CF6D6B7211ED8FA800301809E817,6869.5138,10990.9218,26.4771
Unknown,109.8892,117.7541,0.4713,156.4029,155.9676,155.6618,844.9823,1918.6763,866.5553,0.7254,113,464,765,7.4996,4.6369,1000.0000,7.5380,4.8051,1000.0000,0.1682,0.0000,0.3929,0.4039,2.5452,84.3766,0.4861,11.8286,25.4092,12.2446,50.8022,232.7810,5.8242,-45.0000,45.0000,0.0000,1.0607,0.1717,33.1697,5.6952,26,57,65,130.0824,35.1819,2,77.7297,1.0028,0.9953,0.9980,0.9212,0.0000,0.0000,0.0000,20.0685,0.0000,0,0.0000,0.0000,44228.0000,0.1700,0.5345,CAE3162D6B7211ED8FA800301809E817,866.5553,8589.5227,13.4199
Unknown,127.7679,127.7679,0.7396,160.3029,160.0052,159.3864,2012.4319,912.0248,1086.4170,0.7254,127,207,1884,7.3233,4.5027,1000.0000,7.3238,4.6918,1000.0000,0.1890,0.7779,0.8453,0.9434,1.1830,48.2023,1.0000,12.7546,13.8632,12.7546,71.9706,269.0470,1.0000,-60.0000,0.0000,0.0000,1.1397,1.0000,13.6839,13.6839,38,36,40,99.7807,15.5961,1,54.7357,1.0019,0.9943,0.9961,1.1355,0.0000,0.0000,0.0000,27.5233,0.0000,0,0.0000,0.0000,38216.0000,0.8294,0.0800,CAE33F666B7211ED8FA800301809E817,1086.4170,1395.0478,11.2437
Unknown,104.5424,104.5424,0.4911,146.2905,145.8287,145.2630,314.1913,2954.7502,804.0866,0.7254,134,298,172,7.4910,4.6438,1000.0000,7.5106,4.7340,1000.0000,0.0902,0.2715,0.0928,0.3024,10.7799,74.2923,0.4966,11.5372,22.1650,11.5372,35.2513,285.5780,31.8346,-90.0000,0.0000,1.4007,0.4165,0.0314,74.0119,2.3249,23,68,39,123.6820,30.8295,2,152.6735,1.0032,0.9930,0.9961,2.0550,0.0000,0.0000,0.0000,17.0515,0.0000,0,0.0000,0.0000,40444.0000,0.5261,0.4795,CAE352146B7211ED8FA800301809E817,804.0866,5701.6667,10.5183
Unknown,86.6799,98.4105,0.9444,168.7633,168.0000,167.0318,1224.5693,708.3600,607.0741,0.7254,138,760,829,7.5926,4.7133,1000.0000,7.6546,4.8870,1000.0000,0.1737,0.9383,0.9590,0.9977,1.0428,41.4024,1.0000,10.5054,11.7273,11.1938,197.6852,296.8280,1.0000,55.0000,-45.0000,0.0000,1.0948,1.0000,11.5957,11.5957,6,41,40,85.2756,12.6945,1,46.3829,1.0045,0.9897,0.9942,1.1203,0.0000,0.0000,0.0000,34.6743,0.0000,0,0.0000,0.0000,24133.0000,0.9007,0.1042,CAE35D176B7211ED8FA800301809E817,607.0741,844.4865,10.5183
Unknown,81.8786,81.8786,0.5904,158.4613,157.7786,156.5277,972.7957,439.0362,557.3392,0.7254,153,474,943,5.9303,4.2038,78.0000,5.7487,4.3926,78.0000,0.1888,0.6128,0.7109,0.8117,1.4067,43.8269,0.9593,10.2103,12.5132,10.2103,79.5873,322.0000,1.8902,15.0000,-90.0000,0.0527,0.9499,0.5290,16.4179,8.6858,10,37,43,154.6531,15.5961,1,50.2073,1.0043,0.9878,0.9921,1.1456,0.0000,0.0000,0.0000,42.6053,0.0000,0,0.0000,0.0000,41911.0000,0.5304,0.1840,CAE3842B6B7211ED8FA800301809E817,557.3392,1025.8848,9.0675
Unknown,89.0926,89.0926,0.4143,162.7405,162.7958,162.7751,805.4040,369.1528,632.5961,0.7254,163,543,1137,7.4283,4.6303,1000.0000,7.4915,4.7502,1000.0000,0.1199,0.4126,0.5567,0.6533,1.7963,49.9499,0.9714,10.6506,14.4073,10.6506,82.1286,342.0780,3.3443,-80.0000,15.0000,0.1305,0.8846,0.2990,22.5518,6.7433,29,50,38,141.4844,19.9485,1,58.5902,0.9997,1.0002,0.9999,1.1730,0.0000,0.0000,0.0000,39.4644,0.0000,0,0.0000,0.0000,40889.0000,0.5495,0.2607,CAE39FCF6B7211ED8FA800301809E817,632.5961,1565.8202,7.6167
Unknown,86.6799,94.3462,0.9253,165.3463,165.6678,166.3534,1225.1879,680.1019,607.0741,0.7254,178,433,1408,7.4224,4.5924,1000.0000,7.4950,4.7642,1000.0000,0.1718,0.8223,0.7382,0.9779,1.3546,41.9739,1.0000,10.5054,11.8079,10.9602,64.8254,366.7030,1.6492,-75.0000,50.0000,0.2753,0.7842,0.6064,16.1887,9.8164,7,41,40,131.3251,12.6945,1,52.0101,0.9981,1.0061,1.0041,1.2391,0.0000,0.0000,0.0000,47.0294,0.0000,0,0.0000,0.0000,37165.0000,0.5925,0.1103,CAE3CA0B6B7211ED8FA800301809E817,607.0741,862.0186,10.5183
Unknown,306.1052,361.0637,0.9813,154.8076,154.0481,153.1633,8160.5593,5194.9906,4028.7460,0.7254,183,519,331,7.4094,4.5577,1000.0000,7.4953,4.7853,1000.0000,0.2276,0.8560,0.7907,0.9898,1.2647,75.1912,1.0000,19.7420,22.4068,21.4411,95.1810,372.3590,1.0000,-80.0000,5.0000,0.0000,1.0472,1.0000,21.8211,21.8211,8,55,55,114.0139,22.8501,1,87.2844,1.0049,0.9894,0.9943,1.1608,0.0000,0.0000,0.0000,45.6934,0.0000,0,0.0000,0.0000,90071.0000,0.7572,0.1189,CAE3D6BF6B7211ED8FA800301809E817,4028.7460,5890.3098,21.3993
Unknown,85.8775,85.8775,0.9288,163.2669,162.5907,161.7117,1364.1873,615.5389,598.6632,0.7254,185,926,1274,7.2916,4.5202,1000.0000,7.3945,4.7494,1000.0000,0.2291,0.7933,0.8037,0.9590,1.2442,40.9410,1.0000,10.4567,11.5460,10.4567,57.2586,376.7970,1.0000,45.0000,-70.0000,0.0000,1.0561,1.0000,12.0207,12.0207,30,40,40,138.7936,12.6945,1,48.0826,1.0042,0.9905,0.9946,1.1744,0.0000,0.0000,0.0000,31.1818,0.0000,0,0.0000,0.0000,39001.0000,0.8149,0.0943,CAE3DBDC6B7211ED8FA800301809E817,598.6632,805.9120,10.5183
Unknown,103.3128,108.2409,0.6564,154.6358,154.0463,153.4722,1314.3427,655.4893,789.9414,0.7254,194,979,599,7.5161,4.6970,1000.0000,7.5629,4.8316,1000.0000,0.1346,0.7163,0.7012,0.9003,1.4261,46.6270,0.9970,11.4692,13.3393,11.7395,33.6970,383.9530,1.9735,30.0000,-45.0000,0.1445,0.8738,0.5067,18.6797,9.4651,39,43,44,123.1759,16.3215,1,56.2896,1.0038,0.9925,0.9963,1.2072,0.0000,0.0000,0.0000,11.5029,0.0000,0,0.0000,0.0000,39909.0000,0.7242,0.1402,CAE3F3B06B7211ED8FA800301809E817,789.9414,1242.7900,9.0675
Unknown,131.5443,145.9065,0.8525,156.8699,156.2755,155.5000,2119.3837,1222.4906,1134.9374,0.7254,204,220,1118,7.3654,4.5949,1000.0000,7.4703,4.7935,1000.0000,0.1985,0.8554,0.9083,0.9766,1.1009,49.8167,1.0000,12.9417,14.3267,13.6299,39.3333,416.0470,1.0000,15.0000,-50.0000,0.0000,1.1202,1.0000,13.9222,13.9222,15,44,44,128.7474,15.5961,1,55.6886,1.0038,0.9913,0.9950,1.1179,0.0000,0.0000,0.0000,19.6682,0.0000,0,0.0000,0.0000,50469.0000,0.8087,0.0967,BB621B9F6B7311ED8FA800301809E817,1134.9374,1539.6875,12.6945
Unknown,165.1253,194.5536,0.9348,164.9193,163.9915,163.4586,3531.3543,1984.4862,1596.1883,0.7254,233,387,938,7.2095,4.4393,1000.0000,7.3641,4.6690,1000.0000,0.2297,0.8753,0.8177,0.9907,1.2229,57.2126,1.0000,14.4998,16.7447,15.7389,172.0633,481.8590,1.0000,-60.0000,25.0000,0.0000,1.0768,1.0000,16.5051,16.5051,9,47,47,109.2505,17.7723,1,66.0202,1.0057,0.9911,0.9968,1.1539,0.0000,0.0000,0.0000,38.9239,0.0000,0,0.0000,0.0000,51457.0000,0.7984,0.1341,BB6263766B7311ED8FA800301809E817,1596.1883,2458.2545,15.5961
Unknown,79.0934,82.6765,0.6711,151.1856,150.5758,150.5379,739.0172,515.0560,529.1439,0.7254,255,766,304,5.4071,3.9925,45.0000,5.5736,4.4364,45.0000,0.4438,0.6054,0.5563,0.8401,1.7975,43.2598,0.9647,10.0352,12.2310,10.2600,89.7391,512.6720,3.3483,60.0000,0.0000,0.4062,0.7111,0.2987,21.9316,6.5501,2,43,37,126.0644,15.5961,1,56.9634,1.0041,0.9957,0.9997,1.3168,0.0000,0.0000,0.0000,31.5851,0.0000,0,0.0000,0.0000,33281.0000,0.4564,0.1795,BB629F6A6B7311ED8FA800301809E817,529.1439,958.0537,9.0675
Unknown,84.2752,84.2752,0.4215,154.6606,154.1300,153.6390,351.3639,3571.6138,581.9871,0.7254,288,458,576,7.3613,4.5092,1000.0000,7.4707,4.7207,1000.0000,0.2115,0.3093,0.1791,0.1965,5.5823,81.5026,0.3808,10.3587,24.4218,10.3587,82.4098,575.4380,15.4728,75.0000,-30.0000,0.4079,0.7103,0.0646,47.4900,3.0693,31,71,46,131.8087,33.7311,2,101.1186,1.0034,0.9934,0.9968,1.2407,0.0000,0.0000,0.0000,31.1528,0.0000,0,0.0000,0.0000,36511.0000,0.3296,0.5758,BB62FE886B7311ED8FA800301809E817,581.9871,7626.6117,14.8707
Unknown,95.9696,95.9696,0.9284,151.7974,151.1111,150.2092,1339.8973,700.4457,707.2358,0.7254,289,106,744,7.4982,4.6575,1000.0000,7.5694,4.9127,1000.0000,0.2552,0.8178,0.7604,0.9773,1.3151,42.5024,1.0000,11.0541,12.0497,11.0541,34.5484,576.2030,1.4344,75.0000,-10.0000,0.1325,0.8830,0.6972,15.1975,10.5951,11,42,40,158.3595,13.4199,1,51.5852,1.0045,0.9895,0.9940,1.2137,0.0000,0.0000,0.0000,44.5308,0.0000,0,0.0000,0.0000,48458.0000,0.5923,0.0826,BB63016A6B7311ED8FA800301809E817,707.2358,916.0672,10.5183
Unknown,92.3215,98.4105,0.3248,163.5556,163.3131,163.1044,596.0328,647.6243,667.2951,0.7254,292,774,1376,7.3177,4.4807,1000.0000,7.4109,4.7106,1000.0000,0.2299,0.1219,0.3201,0.4009,3.1238,63.9745,0.7742,10.8419,18.9209,11.1938,66.6598,586.9530,7.6837,55.0000,-40.0000,0.3414,0.7455,0.1301,35.5172,4.6224,24,56,46,152.8182,26.4771,1,80.2793,1.0015,0.9972,0.9987,1.2549,0.0000,0.0000,0.0000,30.4899,0.0000,0,0.0000,0.0000,45387.0000,0.1994,0.4270,BB630A9C6B7311ED8FA800301809E817,667.2951,3546.6681,9.0675
Unknown,104.5424,126.9302,0.8012,168.5566,168.9786,168.6483,1286.4013,994.9866,804.0866,0.7254,308,683,834,4.9192,3.9258,31.0000,5.4878,4.5282,31.0000,0.6024,0.7371,0.5887,0.9420,1.6987,50.5197,0.9281,11.5372,14.5685,12.7127,135.6329,621.2660,3.0038,-70.0000,30.0000,0.4396,0.6947,0.3329,24.5399,8.1697,1,45,43,107.9419,17.0469,1,65.4193,0.9975,1.0005,0.9980,1.2949,0.0000,0.0000,0.0000,35.6148,0.0000,0,0.0000,0.0000,35297.0000,0.5923,0.2081,BB633C736B7311ED8FA800301809E817,804.0866,1618.9695,12.6945
Unknown,80.2856,80.2856,0.8062,152.6704,152.4757,151.8989,412.2603,984.7461,541.1533,0.7254,315,609,520,7.5158,4.6371,1000.0000,7.5140,4.8706,1000.0000,0.2335,0.4092,0.2583,0.6661,3.8722,57.5197,0.6709,10.1105,16.8857,10.1105,44.3505,633.3750,10.0655,-30.0000,65.0000,0.8190,0.5498,0.0993,37.6055,3.7361,32,44,51,138.6704,20.6739,1,82.6831,1.0013,0.9949,0.9962,1.4375,0.0000,0.0000,0.0000,29.5284,0.0000,0,0.0000,0.0000,37025.0000,0.1982,0.4012,BB63527D6B7311ED8FA800301809E817,541.1533,2520.9012,11.2437
Unknown,144.2093,150.1577,0.6268,160.0071,159.1754,158.4147,852.0260,1665.4391,1302.7285,0.7254,325,649,1003,7.4416,4.6018,1000.0000,7.4519,4.7013,1000.0000,0.0995,0.3162,0.2542,0.6898,3.9339,62.8382,0.7793,13.5504,18.4171,13.8270,52.1860,655.9690,10.2612,25.0000,-35.0000,1.2674,0.4410,0.0975,48.5199,4.7285,20,53,49,126.8531,21.3993,1,106.4968,1.0052,0.9900,0.9952,1.6948,0.0000,0.0000,0.0000,16.1021,0.0000,0,0.0000,0.0000,53532.0000,0.2404,0.2642,BB6371396B7311ED8FA800301809E817,1302.7285,3270.8631,12.6945
